SMILES,MOLREGNO,Sol_uM,Acidic_pKa,Basic_pKa,Charge_State
OC(=O)c1cc2cc(Cl)ccc2n1Cc3ccc(Cl)c(Cl)c3,217385,81.29999999999998,4.76,,acidic
COc1cc(OC2CNC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,1166753,81.29999999999998,13.54,8.6,basic
CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1,139866,83.19999999999997,12.9,6.73,neutral
Nc1nc(cs1)c2ccc(Cl)cc2,1061805,83.19999999999997,16.7,4.07,neutral
CC(C)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1428120,83.19999999999997,11.93,-0.35,neutral
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](Sc1ccccc1)C(=O)NO)C(C)(C)C,241842,83.19999999999997,8.76,-0.48,neutral
CSC1=NC(=O)N(Cc2ccc(Cl)cc2)C=C1,752123,83.19999999999997,,-2.81,neutral
FC(F)(F)Oc1ccc(CNC(=O)C2N(C3CCOCC3)C(=O)c4ccccc24)cc1,1427797,83.19999999999997,11.24,-1.5,neutral
OC1=C(CC2=C(O)c3ccccc3OC2=O)C(=O)Oc4ccccc14,394231,85.1,4.85,-6.82,acidic
OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,696002,85.1,4.23,-1.25,acidic
CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1519918,85.1,11.7,8.33,basic
CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc3c(N)ncnc13,182874,85.1,18.56,3.68,neutral
Cn1cnc(c2ccccc2)c1c3cc4c(N)ncnc4s3,612061,85.1,,4.81,neutral
Cc1ccc(\C=C\2/SC(=O)NC2=O)cc1,494743,85.1,7.9,-6.69,neutral
COc1cc2ncnc(Nc3cnn(CC(=O)Nc4ccc(cc4)N(C)C)c3)c2cc1OC,1274956,85.1,13.71,4.86,neutral
COc1cnc(cn1)c2ccccc2C(F)(F)CNC(=O)c3ccc(COCC(F)(F)F)nc3,1420815,85.1,13.69,2.28,neutral
CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C,1355686,87.10000000000005,9.36,0.66,neutral
Cc1cc(c(S)cc1Cl)S(=O)(=O)Nc2nc(Nc3ccc(Cl)cc3)n[nH]2,1298693,87.10000000000005,4.85,1.13,acidic
COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)OCCN3CCOCC3,386457,87.10000000000005,9.76,6.19,neutral
C[C@H](NC1=NC(=O)[C@@](C)(S1)C(F)(F)F)c2ccccc2F,366420,87.10000000000005,18.43,-1.89,neutral
COc1ccc2NC(=O)C3=C(OC(C)(C)C=C3)c2c1,911894,87.10000000000005,12.96,-1.49,neutral
COc1ccc(Nc2ncnc3cccc(OC4CCN(C)CC4)c23)cc1Cl,327606,87.10000000000005,15.86,8.66,basic
Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCN(CC(=O)N5CCOCC5)CC4)C(C)(C)C(=O)N6C7CCC6CC7,417874,87.10000000000005,12.76,7.57,basic
Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCC(CC4)C(=O)N5CCCC(O)C5)C(C)(C)C(=O)N6C7CCC6CC7,417912,87.10000000000005,12.76,9.19,basic
C1CC(CCN1)n2cc(cn2)c3cncc(c3)c4oc5ccccc5n4,674161,87.10000000000005,,10.12,basic
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)N,305169,89.1,10.28,9.32,basic
C[C@H]1COCCN1c2cc(nc(n2)c3cccc4[nH]ccc34)C5(CC5)S(=O)(=O)C,1519877,89.1,16.01,2.54,neutral
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],52087,89.1,12.81,-3.72,neutral
CCOC(=O)c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)nc1,1179971,89.1,,4.41,neutral
